Start,kWh
06/01/2025 12:00:00 AM,5.05
06/02/2025 12:00:00 AM,6.86
06/03/2025 12:00:00 AM,9.1
06/04/2025 12:00:00 AM,7.32
06/05/2025 12:00:00 AM,12.88
06/06/2025 12:00:00 AM,19.04
06/07/2025 12:00:00 AM,15.02
06/08/2025 12:00:00 AM,17.01
06/09/2025 12:00:00 AM,15.71
06/10/2025 12:00:00 AM,14.84
06/11/2025 12:00:00 AM,16.45
06/12/2025 12:00:00 AM,21.89
06/13/2025 12:00:00 AM,15.89
06/14/2025 12:00:00 AM,13.4
06/15/2025 12:00:00 AM,11.37
06/16/2025 12:00:00 AM,10.97
06/17/2025 12:00:00 AM,9.97
06/18/2025 12:00:00 AM,14.21
06/19/2025 12:00:00 AM,18.74
06/20/2025 12:00:00 AM,14.03
06/21/2025 12:00:00 AM,21.46
06/22/2025 12:00:00 AM,40.47
06/23/2025 12:00:00 AM,50.17
06/24/2025 12:00:00 AM,62.36
06/25/2025 12:00:00 AM,60.78
06/26/2025 12:00:00 AM,56.35
06/27/2025 12:00:00 AM,17.51
06/28/2025 12:00:00 AM,10.15
06/29/2025 12:00:00 AM,25.27
06/30/2025 12:00:00 AM,44.77
07/01/2025 12:00:00 AM,46.71
07/02/2025 12:00:00 AM,46.32
07/03/2025 12:00:00 AM,28.53
07/04/2025 12:00:00 AM,37.5
07/05/2025 12:00:00 AM,25.88
07/06/2025 12:00:00 AM,45.58
07/07/2025 12:00:00 AM,62.21
07/08/2025 12:00:00 AM,48.62
07/09/2025 12:00:00 AM,49.45
07/10/2025 12:00:00 AM,27.63
07/11/2025 12:00:00 AM,46.63
07/12/2025 12:00:00 AM,48.37
07/13/2025 12:00:00 AM,41.18
07/14/2025 12:00:00 AM,54.39
07/15/2025 12:00:00 AM,48.14
07/16/2025 12:00:00 AM,54.89
07/17/2025 12:00:00 AM,46.25
07/18/2025 12:00:00 AM,39.91
07/19/2025 12:00:00 AM,16.85
07/20/2025 12:00:00 AM,38.05
07/21/2025 12:00:00 AM,20.21
07/22/2025 12:00:00 AM,23.94
07/23/2025 12:00:00 AM,24.57
07/24/2025 12:00:00 AM,41.43
07/25/2025 12:00:00 AM,49.84
07/26/2025 12:00:00 AM,28.96
07/27/2025 12:00:00 AM,33.94
07/28/2025 12:00:00 AM,36.47
07/29/2025 12:00:00 AM,29.96
07/30/2025 12:00:00 AM,44.22
07/31/2025 12:00:00 AM,46.91
08/01/2025 12:00:00 AM,15.9
08/02/2025 12:00:00 AM,7.81
08/03/2025 12:00:00 AM,18.22
08/04/2025 12:00:00 AM,19.85
08/05/2025 12:00:00 AM,33.24
08/06/2025 12:00:00 AM,16.41
08/07/2025 12:00:00 AM,16.52
08/08/2025 12:00:00 AM,12.58
08/09/2025 12:00:00 AM,26
08/10/2025 12:00:00 AM,31.04
08/11/2025 12:00:00 AM,25.37
08/12/2025 12:00:00 AM,20.36
08/13/2025 12:00:00 AM,33.72
08/14/2025 12:00:00 AM,31.27
08/15/2025 12:00:00 AM,30.53
08/16/2025 12:00:00 AM,27.33
08/17/2025 12:00:00 AM,37.8
08/18/2025 12:00:00 AM,21.63
08/19/2025 12:00:00 AM,6.07
08/20/2025 12:00:00 AM,7.98
08/21/2025 12:00:00 AM,7.93
08/22/2025 12:00:00 AM,5.14
08/23/2025 12:00:00 AM,8.06
08/24/2025 12:00:00 AM,13.52
08/25/2025 12:00:00 AM,24.32
08/26/2025 12:00:00 AM,9.37
08/27/2025 12:00:00 AM,19.5
08/28/2025 12:00:00 AM,11.39
08/29/2025 12:00:00 AM,19.16
08/30/2025 12:00:00 AM,19.25
08/31/2025 12:00:00 AM,13.42
09/01/2025 12:00:00 AM,16.96
09/02/2025 12:00:00 AM,15.96
09/03/2025 12:00:00 AM,13.19
09/04/2025 12:00:00 AM,15.81
09/05/2025 12:00:00 AM,33.39
09/06/2025 12:00:00 AM,33.21
09/07/2025 12:00:00 AM,22.23
09/08/2025 12:00:00 AM,13.28
09/09/2025 12:00:00 AM,16.31
09/10/2025 12:00:00 AM,16.11
09/11/2025 12:00:00 AM,16.15
09/12/2025 12:00:00 AM,18.97
09/13/2025 12:00:00 AM,22.39
09/14/2025 12:00:00 AM,32.13
09/15/2025 12:00:00 AM,28.53
09/16/2025 12:00:00 AM,20.02
09/17/2025 12:00:00 AM,20.69
09/18/2025 12:00:00 AM,30.4
09/19/2025 12:00:00 AM,35.77
09/20/2025 12:00:00 AM,26.73
09/21/2025 12:00:00 AM,26.96
09/22/2025 12:00:00 AM,15.35
09/23/2025 12:00:00 AM,30.15
09/24/2025 12:00:00 AM,31.45
09/25/2025 12:00:00 AM,43.22
09/26/2025 12:00:00 AM,30.18
09/27/2025 12:00:00 AM,13.68
09/28/2025 12:00:00 AM,34.43
09/29/2025 12:00:00 AM,25.71
09/30/2025 12:00:00 AM,26.53
10/01/2025 12:00:00 AM,19.41
10/02/2025 12:00:00 AM,19.2
10/03/2025 12:00:00 AM,16.93
10/04/2025 12:00:00 AM,24.12
10/05/2025 12:00:00 AM,27.24
10/06/2025 12:00:00 AM,22.07
10/07/2025 12:00:00 AM,21.35
10/08/2025 12:00:00 AM,28.04
10/09/2025 12:00:00 AM,15.16
10/10/2025 12:00:00 AM,15.33
10/11/2025 12:00:00 AM,12.12
10/12/2025 12:00:00 AM,19.52
10/13/2025 12:00:00 AM,13.1
10/14/2025 12:00:00 AM,13.66
10/15/2025 12:00:00 AM,9.27
10/16/2025 12:00:00 AM,13.07
10/17/2025 12:00:00 AM,15.34
10/18/2025 12:00:00 AM,13.75
10/19/2025 12:00:00 AM,14.61
10/20/2025 12:00:00 AM,13.99
10/21/2025 12:00:00 AM,17.84
10/22/2025 12:00:00 AM,15.21
10/23/2025 12:00:00 AM,14.47
10/24/2025 12:00:00 AM,15.05
10/25/2025 12:00:00 AM,9.16
10/26/2025 12:00:00 AM,15.33
10/27/2025 12:00:00 AM,15.59
10/28/2025 12:00:00 AM,19.88
10/29/2025 12:00:00 AM,18.23
10/30/2025 12:00:00 AM,16.87
10/31/2025 12:00:00 AM,16.1
11/01/2025 12:00:00 AM,16.17
11/02/2025 12:00:00 AM,18.15
11/03/2025 12:00:00 AM,17.77
11/04/2025 12:00:00 AM,19.74
11/05/2025 12:00:00 AM,16.47
11/06/2025 12:00:00 AM,19.46
11/07/2025 12:00:00 AM,18.35
11/08/2025 12:00:00 AM,15.54
11/09/2025 12:00:00 AM,20.77
11/10/2025 12:00:00 AM,17.21
11/11/2025 12:00:00 AM,17.03
11/12/2025 12:00:00 AM,12.85
11/13/2025 12:00:00 AM,16.41
11/14/2025 12:00:00 AM,15.81
11/15/2025 12:00:00 AM,18.37
11/16/2025 12:00:00 AM,18.08
11/17/2025 12:00:00 AM,13.47
11/18/2025 12:00:00 AM,14.86
11/19/2025 12:00:00 AM,15.49
11/20/2025 12:00:00 AM,16.29
11/21/2025 12:00:00 AM,16.38
11/22/2025 12:00:00 AM,16.99
11/23/2025 12:00:00 AM,15.92
11/24/2025 12:00:00 AM,13.59
11/25/2025 12:00:00 AM,13.26
11/26/2025 12:00:00 AM,11.35
11/27/2025 12:00:00 AM,8.27
11/28/2025 12:00:00 AM,6.52
11/29/2025 12:00:00 AM,6.43
11/30/2025 12:00:00 AM,10.31
12/01/2025 12:00:00 AM,15.23
12/02/2025 12:00:00 AM,13.73
12/03/2025 12:00:00 AM,12.88
12/04/2025 12:00:00 AM,12.47
12/05/2025 12:00:00 AM,15.37
12/06/2025 12:00:00 AM,20.18
12/07/2025 12:00:00 AM,16.14
12/08/2025 12:00:00 AM,13.97
12/09/2025 12:00:00 AM,15.2
12/10/2025 12:00:00 AM,12.94
12/11/2025 12:00:00 AM,12.6
12/12/2025 12:00:00 AM,14.61
12/13/2025 12:00:00 AM,11.39
12/14/2025 12:00:00 AM,10.86
12/15/2025 12:00:00 AM,14.75
12/16/2025 12:00:00 AM,13.39
12/17/2025 12:00:00 AM,15.9